feature,importance
mean,0.04070588235294119
std,0.01499999999999999
min,0.08488235294117649
max,0.11129411764705881
peak_to_peak,0.011117647058823543
rms,0.020235294117647063
skewness,-0.0003529411764705559
kurtosis,0.07411764705882354
energy,0.01488235294117648
zero_crossing_count,0.01764705882352944
mean_abs_diff,0.2735294117647059
median,0.18688235294117644
